"dmd_type","dmd_id","dmd_name","bnf_code"
"VMP",35899911000001108,"Amikacin 500mg/2ml solution for injection vials","0501040C0AAAAAA"
"AMP",9222111000001108,"Amikacin 500mg/2ml solution for injection vials","0501040C0AAAAAA"
"AMP",11591311000001108,"Amikacin 500mg/2ml solution for injection vials","0501040C0AAAAAA"
"VMP",35899811000001104,"Amikacin 100mg/2ml solution for injection vials","0501040C0AAADAD"
"AMP",4500111000001106,"Amikin 500mg/2ml solution for injection vials","0501040C0BBAAAA"
"AMP",4500411000001101,"Amikin 100mg/2ml solution for injection vials","0501040C0BBACAD"
"VMP",36051011000001104,"Gentamicin 80mg/2ml solution for injection ampoules","0501040H0AAAAAA"
"AMP",3845211000001101,"Gentamicin 80mg/2ml solution for injection ampoules","0501040H0AAAAAA"
"AMP",27334311000001100,"Gentamicin 80mg/2ml solution for injection ampoules","0501040H0AAAAAA"
"AMP",3847411000001108,"Gentamicin 80mg/2ml solution for injection ampoules","0501040H0AAAAAA"
"AMP",32334511000001108,"Gentamicin 80mg/2ml solution for injection ampoules","0501040H0AAAAAA"
"AMP",3846511000001105,"Gentamicin 80mg/2ml solution for injection ampoules","0501040H0AAAAAA"
"AMP",29862011000001104,"Gentamicin 80mg/2ml solution for injection ampoules","0501040H0AAAAAA"
"VMP",36063011000001104,"Gentamicin 20mg/2ml solution for injection vials","0501040H0AAAEAE"
"VMP",4615711000001107,"Gentamicin 5mg/1ml solution for injection ampoules","0501040H0AAAHAH"
"VMP",36051111000001104,"Gentamicin 80mg/2ml solution for injection vials","0501040H0AAAMAM"
"AMP",3997111000001101,"Gentamicin 80mg/2ml solution for injection vials","0501040H0AAAMAM"
"AMP",3998811000001107,"Gentamicin 80mg/2ml solution for injection vials","0501040H0AAAMAM"
"AMP",3998211000001106,"Gentamicin 80mg/2ml solution for injection vials","0501040H0AAAMAM"
"VMP",36050911000001104,"Gentamicin 40mg/1ml solution for injection ampoules","0501040H0AAAQAQ"
"AMP",3999111000001107,"Gentamicin 40mg/1ml solution for injection ampoules","0501040H0AAAQAQ"
"AMP",3999911000001105,"Gentamicin 40mg/1ml solution for injection ampoules","0501040H0AAAQAQ"
"AMP",3999411000001102,"Gentamicin 40mg/1ml solution for injection ampoules","0501040H0AAAQAQ"
"VMP",8523611000001103,"Gentamicin 50mg/5ml oral solution","0501040H0AAAWAW"
"AMP",8494111000001107,"Gentamicin 50mg/5ml oral solution","0501040H0AAAWAW"
"VMP",12090011000001100,"Gentamicin 75mg/5ml oral solution","0501040H0AAAYAY"
"AMP",12076611000001100,"Gentamicin 75mg/5ml oral solution","0501040H0AAAYAY"
"VMP",29903511000001104,"Gentamicin 20mg/2ml solution for injection ampoules","0501040H0AABBBB"
"AMP",29934211000001108,"Gentamicin 20mg/2ml solution for injection ampoules","0501040H0AABBBB"
"AMP",29861811000001108,"Gentamicin 20mg/2ml solution for injection ampoules","0501040H0AABBBB"
"VMP",32749211000001108,"Gentamicin 45mg/5ml oral solution","0501040H0AABFBF"
"AMP",32743411000001104,"Gentamicin 45mg/5ml oral solution","0501040H0AABFBF"
"AMP",3845811000001100,"Cidomycin 80mg/2ml solution for injection ampoules","0501040H0BBAAAA"
"AMP",3997811000001108,"Cidomycin 80mg/2ml solution for injection vials","0501040H0BBAFAM"
"AMP",3847011000001104,"Genticin Injectable 80mg/2ml solution for injection ampoules","0501040H0BCAAAA"
"AMP",17330211000001102,"Gentamicin Paediatric 20mg/2ml solution for injection vials","0501040H0BGAAAE"
"VMP",324158001,"Neomycin 500mg tablets","0501040N0AAADAD"
"AMP",4055311000001106,"Neomycin 500mg tablets","0501040N0AAADAD"
"AMP",28932611000001104,"Neomycin 500mg tablets","0501040N0AAADAD"
"AMP",4055711000001105,"Neomycin 500mg tablets","0501040N0AAADAD"
"AMP",4208311000001104,"Neomycin 500mg tablets","0501040N0AAADAD"
"VMP",12301911000001108,"Neomycin 100mg/5ml oral solution","0501040N0AAAJAJ"
"AMP",12273311000001106,"Neomycin 100mg/5ml oral solution","0501040N0AAAJAJ"
"AMP",4055511000001100,"Nivemycin 500mg tablets","0501040N0BCAAAD"
"VMP",4957911000001108,"Tobramycin 40mg/1ml solution for injection vials","0501040U0AAABAB"
"AMP",4944011000001104,"Tobramycin 40mg/1ml solution for injection vials","0501040U0AAABAB"
"AMP",9187611000001104,"Tobramycin 40mg/1ml solution for injection vials","0501040U0AAABAB"
"AMP",4944511000001107,"Tobramycin 40mg/1ml solution for injection vials","0501040U0AAABAB"
"AMP",4944311000001101,"Tobramycin 40mg/1ml solution for injection vials","0501040U0AAABAB"
"AMP",12949611000001104,"Tobramycin 40mg/1ml solution for injection vials","0501040U0AAABAB"
"VMP",4145011000001103,"Tobramycin 80mg/2ml solution for injection vials","0501040U0AAACAC"
"AMP",4127011000001108,"Tobramycin 80mg/2ml solution for injection vials","0501040U0AAACAC"
"AMP",9187811000001108,"Tobramycin 80mg/2ml solution for injection vials","0501040U0AAACAC"
"AMP",4129111000001103,"Tobramycin 80mg/2ml solution for injection vials","0501040U0AAACAC"
