"dmd_type","dmd_id","dmd_name","bnf_code"
"VMP",16603411000001108,"Aminosalicylic acid gastro-resistant granules 4g sachets sugar free","0501090A0AAAAAA"
"AMP",26396411000001104,"Granupas gastro-resistant granules 4g sachets","0501090A0BCAAAA"
"VMP",324455006,"Capreomycin 1g powder for solution for injection vials","0501090C0AAAAAA"
"AMP",13174711000001100,"Capreomycin 1g powder for solution for injection vials","0501090C0AAAAAA"
"VMP",324457003,"Cycloserine 250mg capsules","0501090E0AAABAB"
"AMP",20190411000001108,"Cycloserine 250mg capsules","0501090E0AAABAB"
"AMP",18865211000001108,"Cycloserine 250mg capsules","0501090E0AAABAB"
"AMP",4185311000001109,"Cycloserine 250mg capsules","0501090E0AAABAB"
"VMP",324466004,"Ethambutol 100mg tablets","0501090H0AAABAB"
"AMP",3712111000001109,"Ethambutol 100mg tablets","0501090H0AAABAB"
"AMP",3714111000001101,"Ethambutol 100mg tablets","0501090H0AAABAB"
"AMP",23904111000001104,"Ethambutol 100mg tablets","0501090H0AAABAB"
"AMP",3712511000001100,"Ethambutol 100mg tablets","0501090H0AAABAB"
"AMP",34441711000001104,"Ethambutol 100mg tablets","0501090H0AAABAB"
"AMP",3712811000001102,"Ethambutol 100mg tablets","0501090H0AAABAB"
"AMP",38901311000001104,"Ethambutol 100mg tablets","0501090H0AAABAB"
"AMP",24131811000001104,"Ethambutol 100mg tablets","0501090H0AAABAB"
"AMP",17903911000001104,"Ethambutol 100mg tablets","0501090H0AAABAB"
"AMP",29858511000001108,"Ethambutol 100mg tablets","0501090H0AAABAB"
"AMP",21977511000001108,"Ethambutol 100mg tablets","0501090H0AAABAB"
"VMP",324467008,"Ethambutol 400mg tablets","0501090H0AAACAC"
"AMP",3667311000001101,"Ethambutol 400mg tablets","0501090H0AAACAC"
"AMP",3668511000001106,"Ethambutol 400mg tablets","0501090H0AAACAC"
"AMP",23904311000001108,"Ethambutol 400mg tablets","0501090H0AAACAC"
"AMP",3667911000001100,"Ethambutol 400mg tablets","0501090H0AAACAC"
"AMP",34442011000001108,"Ethambutol 400mg tablets","0501090H0AAACAC"
"AMP",3668211000001108,"Ethambutol 400mg tablets","0501090H0AAACAC"
"AMP",38901511000001104,"Ethambutol 400mg tablets","0501090H0AAACAC"
"AMP",24132111000001108,"Ethambutol 400mg tablets","0501090H0AAACAC"
"AMP",17904111000001100,"Ethambutol 400mg tablets","0501090H0AAACAC"
"AMP",15083611000001102,"Ethambutol 400mg tablets","0501090H0AAACAC"
"AMP",21977711000001104,"Ethambutol 400mg tablets","0501090H0AAACAC"
"VMP",8509511000001106,"Ethambutol 500mg/5ml oral solution","0501090H0AAARAR"
"VMP",8509611000001105,"Ethambutol 500mg/5ml oral suspension","0501090H0AAARAR"
"AMP",8472011000001107,"Ethambutol 500mg/5ml oral solution","0501090H0AAARAR"
"AMP",8473111000001102,"Ethambutol 500mg/5ml oral suspension","0501090H0AAARAR"
"VMP",8509211000001108,"Ethambutol 400mg/5ml oral solution","0501090H0AAASAS"
"VMP",8509411000001107,"Ethambutol 400mg/5ml oral suspension","0501090H0AAASAS"
"AMP",8471311000001101,"Ethambutol 400mg/5ml oral solution","0501090H0AAASAS"
