code,term
153351000119102,History of peripheral stem cell transplant
19944001,Autologous bone marrow transplant without purging
228311000000103,Allograft of bone marrow from haploidentical donor
234331007,Syngeneic bone marrow transplant
234332000,T-cell depleted allogeneic bone marrow graft
234333005,Imperfect T-cell depleted allogeneic bone marrow graft
234334004,Allogeneic related bone marrow transplant
234335003,Allogeneic unrelated bone marrow transplant
234336002,Hemopoietic stem cell transplant
23719005,Transplantation of bone marrow
278256002,Cord cell transfusion
278257006,Peripheral blood stem cell graft
284671000000102,Autologous peripheral blood stem cell transplant
284681000000100,Syngeneic peripheral blood stem cell transplant
284691000000103,Allogeneic peripheral blood stem cell transplant
291281000000102,Autologous peripheral blood stem cell transplant
291291000000100,Syngeneic peripheral blood stem cell transplant
291301000000101,Allogeneic peripheral blood stem cell transplant
378841000000102,Allograft of bone marrow from unmatched unrelated donor
425229001,Chemotherapy-induced neutropenia
425563003,Grafting of cord blood to bone marrow
425843001,Allogeneic peripheral blood stem cell transplant
425983008,Autologous peripheral blood stem cell transplant
426425001,Allograft of bone marrow from sibling donor
427423003,Allograft of bone marrow from matched unrelated donor
427615008,Allograft of cord blood to bone marrow
442557006,Grafting of bone marrow using allograft from unmatched unrelated donor
445757003,Allogeneic bone marrow transplantation without purging
446253009,Allogeneic bone marrow transplantation with purging
46280001,Autologous bone marrow transplant with purging
58390007,Allogeneic bone marrow transplantation
58776007,Autologous bone marrow transplant
698075004,Syngeneic peripheral blood stem cell transplantation
709115004,Transplantation of autologous hematopoietic stem cell
711429001,Transplantation of autologous progenitor cell
767658000,Neutropenia due to and following chemotherapy
870253002,Myeloablative conditioning regimen
