"dmd_type","dmd_id","dmd_name","bnf_code"
"VMP",323791006,"Cefaclor 250mg capsules","0501021A0AAAAAA"
"AMP",275011000001109,"Cefaclor 250mg capsules","0501021A0AAAAAA"
"AMP",813911000001109,"Cefaclor 250mg capsules","0501021A0AAAAAA"
"AMP",10290911000001100,"Cefaclor 250mg capsules","0501021A0AAAAAA"
"AMP",636511000001108,"Cefaclor 250mg capsules","0501021A0AAAAAA"
"AMP",17826511000001100,"Cefaclor 250mg capsules","0501021A0AAAAAA"
"AMP",233911000001105,"Cefaclor 250mg capsules","0501021A0AAAAAA"
"AMP",270911000001104,"Cefaclor 250mg capsules","0501021A0AAAAAA"
"VMP",323792004,"Cefaclor 125mg/5ml oral suspension","0501021A0AAABAB"
"AMP",4113911000001107,"Cefaclor 125mg/5ml oral suspension","0501021A0AAABAB"
"AMP",10348111000001104,"Cefaclor 125mg/5ml oral suspension","0501021A0AAABAB"
"AMP",25833611000001104,"Cefaclor 125mg/5ml oral suspension","0501021A0AAABAB"
"AMP",31564011000001108,"Cefaclor 125mg/5ml oral suspension","0501021A0AAABAB"
"AMP",890411000001105,"Cefaclor 125mg/5ml oral suspension","0501021A0AAABAB"
"AMP",30008911000001108,"Cefaclor 125mg/5ml oral suspension","0501021A0AAABAB"
"AMP",612411000001100,"Cefaclor 125mg/5ml oral suspension","0501021A0AAABAB"
"AMP",32201411000001108,"Cefaclor 125mg/5ml oral suspension","0501021A0AAABAB"
"AMP",18085911000001104,"Cefaclor 125mg/5ml oral suspension","0501021A0AAABAB"
"AMP",171911000001109,"Cefaclor 125mg/5ml oral suspension","0501021A0AAABAB"
"VMP",323793009,"Cefaclor 250mg/5ml oral suspension","0501021A0AAACAC"
"AMP",4114111000001106,"Cefaclor 250mg/5ml oral suspension","0501021A0AAACAC"
"AMP",8825311000001105,"Cefaclor 250mg/5ml oral suspension","0501021A0AAACAC"
"AMP",25834011000001104,"Cefaclor 250mg/5ml oral suspension","0501021A0AAACAC"
"AMP",31564611000001104,"Cefaclor 250mg/5ml oral suspension","0501021A0AAACAC"
"AMP",5311000001107,"Cefaclor 250mg/5ml oral suspension","0501021A0AAACAC"
"AMP",647311000001100,"Cefaclor 250mg/5ml oral suspension","0501021A0AAACAC"
"AMP",32201711000001104,"Cefaclor 250mg/5ml oral suspension","0501021A0AAACAC"
"AMP",18086111000001108,"Cefaclor 250mg/5ml oral suspension","0501021A0AAACAC"
"AMP",400511000001101,"Cefaclor 250mg/5ml oral suspension","0501021A0AAACAC"
"VMP",323795002,"Cefaclor 500mg capsules","0501021A0AAAEAE"
"AMP",744311000001103,"Cefaclor 500mg capsules","0501021A0AAAEAE"
"AMP",64011000001107,"Cefaclor 500mg capsules","0501021A0AAAEAE"
"AMP",10291411000001104,"Cefaclor 500mg capsules","0501021A0AAAEAE"
"AMP",4323911000001106,"Cefaclor 500mg capsules","0501021A0AAAEAE"
"AMP",17826711000001106,"Cefaclor 500mg capsules","0501021A0AAAEAE"
"AMP",923811000001104,"Cefaclor 500mg capsules","0501021A0AAAEAE"
"AMP",15073011000001102,"Cefaclor 500mg capsules","0501021A0AAAEAE"
"AMP",459111000001108,"Cefaclor 500mg capsules","0501021A0AAAEAE"
"VMP",36134211000001104,"Cefaclor 375mg modified-release tablets","0501021A0AAAGAG"
"AMP",3663611000001103,"Cefaclor 375mg modified-release tablets","0501021A0AAAGAG"
"AMP",804411000001101,"Cefaclor 375mg modified-release tablets","0501021A0AAAGAG"
"AMP",4324111000001105,"Cefaclor 375mg modified-release tablets","0501021A0AAAGAG"
"AMP",168011000001109,"Cefaclor 375mg modified-release tablets","0501021A0AAAGAG"
"VMP",36134011000001104,"Cefaclor 125mg/5ml oral suspension sugar free","0501021A0AAAJAJ"
"AMP",37011000001109,"Cefaclor 125mg/5ml oral suspension sugar free","0501021A0AAAJAJ"
"AMP",141511000001101,"Cefaclor 125mg/5ml oral suspension sugar free","0501021A0AAAJAJ"
"AMP",10309911000001104,"Cefaclor 125mg/5ml oral suspension sugar free","0501021A0AAAJAJ"
"AMP",17867211000001104,"Cefaclor 125mg/5ml oral suspension sugar free","0501021A0AAAJAJ"
"AMP",576111000001105,"Cefaclor 125mg/5ml oral suspension sugar free","0501021A0AAAJAJ"
"VMP",36134111000001104,"Cefaclor 250mg/5ml oral suspension sugar free","0501021A0AAAKAK"
"AMP",745411000001106,"Cefaclor 250mg/5ml oral suspension sugar free","0501021A0AAAKAK"
"AMP",594511000001101,"Cefaclor 250mg/5ml oral suspension sugar free","0501021A0AAAKAK"
"AMP",10310111000001108,"Cefaclor 250mg/5ml oral suspension sugar free","0501021A0AAAKAK"
"AMP",9764411000001108,"Cefaclor 250mg/5ml oral suspension sugar free","0501021A0AAAKAK"
"AMP",17867411000001108,"Cefaclor 250mg/5ml oral suspension sugar free","0501021A0AAAKAK"
"AMP",248911000001101,"Cefaclor 250mg/5ml oral suspension sugar free","0501021A0AAAKAK"
"AMP",793311000001106,"Distaclor 125mg/5ml oral suspension","0501021A0BBABAB"
"AMP",602211000001101,"Distaclor 250mg/5ml oral suspension","0501021A0BBACAC"
"AMP",252811000001107,"Distaclor 500mg capsules","0501021A0BBADAE"
"AMP",583511000001100,"Distaclor MR 375mg tablets","0501021A0BBAEAG"
"AMP",555211000001108,"Keftid 250mg capsules","0501021A0BDAAAA"
"AMP",531011000001104,"Keftid 125mg/5ml oral suspension","0501021A0BDACAJ"
"VMP",323813001,"Cefadroxil 500mg capsules","0501021B0AAAAAA"
"AMP",7887711000001102,"Cefadroxil 500mg capsules","0501021B0AAAAAA"
"AMP",5918311000001108,"Cefadroxil 500mg capsules","0501021B0AAAAAA"
"AMP",19712411000001100,"Cefadroxil 500mg capsules","0501021B0AAAAAA"
"AMP",30009111000001104,"Cefadroxil 500mg capsules","0501021B0AAAAAA"
"AMP",38825011000001112,"Cefadroxil 500mg capsules","0501021B0AAAAAA"
"AMP",17851711000001104,"Cefadroxil 500mg capsules","0501021B0AAAAAA"
"AMP",8750411000001109,"Cefadroxil 500mg capsules","0501021B0AAAAAA"
"AMP",4814611000001109,"Cefadroxil 500mg capsules","0501021B0AAAAAA"
"AMP",15073211000001108,"Cefadroxil 500mg capsules","0501021B0AAAAAA"
"AMP",21821711000001100,"Cefadroxil 500mg capsules","0501021B0AAAAAA"
"VMP",323816009,"Cefadroxil 500mg/5ml oral suspension","0501021B0AAADAD"
"VMP",323973007,"Cefixime 200mg tablets","0501021C0AAAAAA"
"VMP",36134411000001104,"Cefixime 100mg/5ml oral suspension","0501021C0AAABAB"
"VMP",370375008,"Cefixime 400mg tablets","0501021C0AAACAC"
"AMP",34762811000001104,"Cefixime 400mg tablets","0501021C0AAACAC"
"AMP",511411000001101,"Suprax 200mg tablets","0501021C0BBAAAA"
"AMP",3184511000001101,"Suprax Paediatric 100mg/5ml oral suspension","0501021C0BBABAB"
"VMP",323824004,"Cefotaxime 500mg powder for solution for injection vials","0501021D0AAAAAA"
"AMP",13611511000001100,"Cefotaxime 500mg powder for solution for injection vials","0501021D0AAAAAA"
"AMP",34750011000001100,"Cefotaxime 500mg powder for solution for injection vials","0501021D0AAAAAA"
"AMP",4532811000001108,"Cefotaxime 500mg powder for solution for injection vials","0501021D0AAAAAA"
"AMP",27971011000001108,"Cefotaxime 500mg powder for solution for injection vials","0501021D0AAAAAA"
"AMP",4532411000001106,"Cefotaxime 500mg powder for solution for injection vials","0501021D0AAAAAA"
"VMP",323825003,"Cefotaxime 1g powder for solution for injection vials","0501021D0AAABAB"
"AMP",13611811000001104,"Cefotaxime 1g powder for solution for injection vials","0501021D0AAABAB"
"AMP",34749811000001100,"Cefotaxime 1g powder for solution for injection vials","0501021D0AAABAB"
"AMP",3940811000001102,"Cefotaxime 1g powder for solution for injection vials","0501021D0AAABAB"
"AMP",27969111000001104,"Cefotaxime 1g powder for solution for injection vials","0501021D0AAABAB"
"AMP",36516011000001104,"Cefotaxime 1g powder for solution for injection vials","0501021D0AAABAB"
"AMP",3940211000001103,"Cefotaxime 1g powder for solution for injection vials","0501021D0AAABAB"
"VMP",4558311000001100,"Cefotaxime 2g powder for solution for injection vials","0501021D0AAACAC"
"AMP",13612211000001106,"Cefotaxime 2g powder for solution for injection vials","0501021D0AAACAC"
"AMP",4533911000001105,"Cefotaxime 2g powder for solution for injection vials","0501021D0AAACAC"
"AMP",27969611000001104,"Cefotaxime 2g powder for solution for injection vials","0501021D0AAACAC"
"AMP",36516211000001104,"Cefotaxime 2g powder for solution for injection vials","0501021D0AAACAC"
"AMP",4533711000001108,"Cefotaxime 2g powder for solution for injection vials","0501021D0AAACAC"
"VMP",323829009,"Cefoxitin 1g powder for solution for injection vials","0501021E0AAADAD"
"AMP",28788511000001104,"Cefoxitin 1g powder for solution for injection vials","0501021E0AAADAD"
"AMP",34800911000001108,"Cefoxitin 1g powder for solution for injection vials","0501021E0AAADAD"
"VMP",323982001,"Cefpodoxime 100mg tablets","0501021F0AAAAAA"
"AMP",3929911000001104,"Orelox 100mg tablets","0501021F0BBAAAA"
"VMP",323989005,"Ceftriaxone 250mg powder for solution for injection vials","0501021G0AAABAB"
"AMP",13612411000001104,"Ceftriaxone 250mg powder for solution for injection vials","0501021G0AAABAB"
"AMP",34750811000001108,"Ceftriaxone 250mg powder for solution for injection vials","0501021G0AAABAB"
"AMP",23047711000001100,"Ceftriaxone 250mg powder for solution for injection vials","0501021G0AAABAB"
"AMP",27971211000001104,"Ceftriaxone 250mg powder for solution for injection vials","0501021G0AAABAB"
"VMP",323990001,"Ceftriaxone 1g powder for solution for injection vials","0501021G0AAACAC"
"AMP",3977811000001102,"Ceftriaxone 1g powder for solution for injection vials","0501021G0AAACAC"
"AMP",34751011000001104,"Ceftriaxone 1g powder for solution for injection vials","0501021G0AAACAC"
"AMP",37336711000001104,"Ceftriaxone 1g powder for solution for injection vials","0501021G0AAACAC"
"AMP",3978511000001101,"Ceftriaxone 1g powder for solution for injection vials","0501021G0AAACAC"
"AMP",22824911000001104,"Ceftriaxone 1g powder for solution for injection vials","0501021G0AAACAC"
"AMP",36516811000001104,"Ceftriaxone 1g powder for solution for injection vials","0501021G0AAACAC"
"AMP",11400311000001106,"Ceftriaxone 1g powder for solution for injection vials","0501021G0AAACAC"
"AMP",38564411000001112,"Ceftriaxone 1g powder for solution for injection vials","0501021G0AAACAC"
"AMP",20100211000001108,"Ceftriaxone 1g powder for solution for injection vials","0501021G0AAACAC"
"AMP",36541011000001104,"Ceftriaxone 1g powder for solution for injection vials","0501021G0AAACAC"
"AMP",32483211000001108,"Ceftriaxone 1g powder for solution for injection vials","0501021G0AAACAC"
"AMP",3978011000001109,"Ceftriaxone 1g powder for solution for injection vials","0501021G0AAACAC"
"VMP",323991002,"Ceftriaxone 2g powder for solution for injection vials","0501021G0AAADAD"
"AMP",23414711000001104,"Ceftriaxone 2g powder for solution for infusion vials","0501021G0AAADAD"
"AMP",36517011000001104,"Ceftriaxone 2g powder for solution for infusion vials","0501021G0AAADAD"
"AMP",4405611000001104,"Ceftriaxone 2g powder for solution for injection vials","0501021G0AAADAD"
"AMP",34751211000001100,"Ceftriaxone 2g powder for solution for injection vials","0501021G0AAADAD"
"AMP",4406311000001104,"Ceftriaxone 2g powder for solution for injection vials","0501021G0AAADAD"
"AMP",20100411000001104,"Ceftriaxone 2g powder for solution for injection vials","0501021G0AAADAD"
"AMP",36783811000001104,"Ceftriaxone 2g powder for solution for injection vials","0501021G0AAADAD"
"AMP",32483411000001108,"Ceftriaxone 2g powder for solution for injection vials","0501021G0AAADAD"
"AMP",4406011000001102,"Ceftriaxone 2g powder for solution for injection vials","0501021G0AAADAD"
"AMP",4404611000001100,"Rocephin 250mg powder for solution for injection vials","0501021G0BBAAAB"
"AMP",3978911000001108,"Rocephin 1g powder for solution for injection vials","0501021G0BBABAC"
"AMP",4406611000001109,"Rocephin 2g powder for solution for injection vials","0501021G0BBACAD"
"VMP",323853003,"Ceftazidime 500mg powder for solution for injection vials","0501021H0AAAAAA"
"AMP",10188511000001108,"Ceftazidime 500mg powder for solution for injection vials","0501021H0AAAAAA"
"AMP",34750211000001104,"Ceftazidime 500mg powder for solution for injection vials","0501021H0AAAAAA"
"AMP",36537311000001104,"Ceftazidime 500mg powder for solution for injection vials","0501021H0AAAAAA"
"AMP",8744311000001107,"Ceftazidime 500mg powder for solution for injection vials","0501021H0AAAAAA"
"AMP",19837811000001104,"Ceftazidime 500mg powder for solution for injection vials","0501021H0AAAAAA"
"AMP",32483611000001104,"Ceftazidime 500mg powder for solution for injection vials","0501021H0AAAAAA"
