"dmd_type","dmd_id","dmd_name","bnf_code"
"VMP",324276003,"Clindamycin 75mg capsules","0501060D0AAAAAA"
"AMP",36646511000001104,"Clindamycin 75mg capsules","0501060D0AAAAAA"
"AMP",37334911000001104,"Clindamycin 75mg capsules","0501060D0AAAAAA"
"VMP",324277007,"Clindamycin 150mg capsules","0501060D0AAABAB"
"AMP",4919711000001105,"Clindamycin 150mg capsules","0501060D0AAABAB"
"AMP",33634011000001104,"Clindamycin 150mg capsules","0501060D0AAABAB"
"AMP",7845611000001105,"Clindamycin 150mg capsules","0501060D0AAABAB"
"AMP",37342311000001104,"Clindamycin 150mg capsules","0501060D0AAABAB"
"AMP",30041711000001104,"Clindamycin 150mg capsules","0501060D0AAABAB"
"AMP",35019811000001104,"Clindamycin 150mg capsules","0501060D0AAABAB"
"AMP",13704611000001104,"Clindamycin 150mg capsules","0501060D0AAABAB"
"AMP",37053311000001104,"Clindamycin 150mg capsules","0501060D0AAABAB"
"AMP",38841011000001104,"Clindamycin 150mg capsules","0501060D0AAABAB"
"AMP",38320011000001104,"Clindamycin 150mg capsules","0501060D0AAABAB"
"AMP",35638511000001104,"Clindamycin 150mg capsules","0501060D0AAABAB"
"AMP",17860011000001100,"Clindamycin 150mg capsules","0501060D0AAABAB"
"AMP",28693411000001100,"Clindamycin 150mg capsules","0501060D0AAABAB"
"AMP",4329711000001107,"Clindamycin 150mg capsules","0501060D0AAABAB"
"AMP",15081111000001108,"Clindamycin 150mg capsules","0501060D0AAABAB"
"AMP",33933711000001104,"Clindamycin 150mg capsules","0501060D0AAABAB"
"AMP",33041711000001108,"Clindamycin 150mg capsules","0501060D0AAABAB"
"AMP",21858111000001108,"Clindamycin 150mg capsules","0501060D0AAABAB"
"AMP",19213211000001104,"Clindamycin 150mg capsules","0501060D0AAABAB"
"VMP",27864611000001100,"Clindamycin 75mg/5ml oral solution","0501060D0AAAEAE"
"AMP",8351711000001105,"Clindamycin 75mg/5ml oral solution","0501060D0AAAEAE"
"VMP",12021711000001102,"Clindamycin 300mg/5ml oral solution","0501060D0AAAGAG"
"AMP",11969011000001100,"Clindamycin 300mg/5ml oral solution","0501060D0AAAGAG"
"VMP",12021411000001108,"Clindamycin 150mg/5ml oral solution","0501060D0AAAHAH"
"AMP",11967711000001108,"Clindamycin 150mg/5ml oral solution","0501060D0AAAHAH"
"VMP",12021311000001100,"Clindamycin 120mg/5ml oral solution","0501060D0AAAJAJ"
"AMP",11967411000001100,"Clindamycin 120mg/5ml oral solution","0501060D0AAAJAJ"
"VMP",21711211000001104,"Clindamycin 300mg capsules","0501060D0AAAMAM"
"AMP",21732111000001108,"Clindamycin 300mg capsules","0501060D0AAAMAM"
"AMP",33634311000001100,"Clindamycin 300mg capsules","0501060D0AAAMAM"
"AMP",22164711000001104,"Clindamycin 300mg capsules","0501060D0AAAMAM"
"AMP",37343211000001112,"Clindamycin 300mg capsules","0501060D0AAAMAM"
"AMP",21669011000001100,"Clindamycin 300mg capsules","0501060D0AAAMAM"
"AMP",30042211000001104,"Clindamycin 300mg capsules","0501060D0AAAMAM"
"AMP",37053511000001104,"Clindamycin 300mg capsules","0501060D0AAAMAM"
"AMP",38841311000001104,"Clindamycin 300mg capsules","0501060D0AAAMAM"
"AMP",38322611000001104,"Clindamycin 300mg capsules","0501060D0AAAMAM"
"AMP",35774311000001104,"Clindamycin 300mg capsules","0501060D0AAAMAM"
"AMP",28693811000001104,"Clindamycin 300mg capsules","0501060D0AAAMAM"
"AMP",29789311000001100,"Clindamycin 300mg capsules","0501060D0AAAMAM"
"AMP",33041911000001104,"Clindamycin 300mg capsules","0501060D0AAAMAM"
"VMP",8360611000001101,"Clindamycin 75mg/5ml oral suspension","0501060D0AAANAN"
"AMP",8353211000001104,"Clindamycin 75mg/5ml oral suspension","0501060D0AAANAN"
"VMP",32748011000001108,"Clindamycin 450mg/5ml oral solution","0501060D0AAAPAP"
"AMP",32705111000001104,"Clindamycin 450mg/5ml oral solution","0501060D0AAAPAP"
