"dmd_type","dmd_id","dmd_name","bnf_code"
"VMP",324049005,"Demeclocycline 150mg capsules","0501030F0AAAAAA"
"AMP",13613311000001108,"Demeclocycline 150mg capsules","0501030F0AAAAAA"
"AMP",13385911000001100,"Demeclocycline 150mg capsules","0501030F0AAAAAA"
"AMP",13479311000001102,"Demeclocycline 150mg capsules","0501030F0AAAAAA"
"VMP",11713311000001108,"Demeclocycline 150mg/5ml oral solution","0501030F0AAAGAG"
"VMP",11713411000001102,"Demeclocycline 150mg/5ml oral suspension","0501030F0AAAGAG"
"AMP",11697011000001108,"Demeclocycline 150mg/5ml oral solution","0501030F0AAAGAG"
"AMP",11696711000001108,"Demeclocycline 150mg/5ml oral suspension","0501030F0AAAGAG"
"VMP",371595007,"Demeclocycline 150mg tablets","0501030F0AAAIAI"
"AMP",27808811000001108,"Demeclocycline 150mg tablets","0501030F0AAAIAI"
"AMP",34802411000001104,"Demeclocycline 150mg tablets","0501030F0AAAIAI"
