code,term
1085951000119102,Dental caries on pit and fissure surface limited to enamel
1085961000119100,Dental caries on pit and fissure surface penetrating into dentin
1085971000119106,Dental caries on pit and fissure surface penetrating into pulp
1085981000119109,Dental caries on smooth surface limited to enamel
1085991000119107,Dental caries on smooth surface penetrating into dentin
1086001000119108,Dental caries on smooth surface penetrating into pulp
109564008,Dental caries associated with enamel hypomineralization
109566005,Dental caries associated with enamel hypoplasia
109568006,Dental caries secondary to developmental defects of tooth structure
109569003,Dental caries secondary to acquired defects of tooth structure
109570002,Primary dental caries
109571003,Primary dental caries of indeterminate origin
109572005,"Primary dental caries, cervical origin"
109573000,"Primary dental caries, proximal smooth surface origin"
109574006,"Primary dental caries, nonproximal smooth surface origin"
109575007,"Primary dental caries, pit and fissure origin"
109576008,"Primary dental caries, root surface origin"
109577004,"Primary dental caries, multisurface origin"
109578009,Caries of infancy
109580003,Caries of infancy associated with breast feeding
109581004,Caries of infancy associated with bottle feeding
109602002,Acute apical abscess
109603007,Chronic apical abscess
109605000,Acute apical periodontitis
109611002,Cellulitis of gingiva
109617003,Suppurative inflammation of subgingival space
109625001,Gingival papillary cratering
12033006,Marginal periodontitis
13959000,Ulcerative gingivitis
140371009,O/E - gingivitis
149018009,Drainage of dental abscess
155639003,Dental abscess
155643004,Acute gingivitis
155644005,(Chronic gingivitis) or (gingivostomatitis)
155646007,Acute periodontitis
155647003,Chronic periodontitis
155648008,(Gingival and periodontal disease NOS) or (giant cell epulis) or (periodontitis)
15733007,Incipient enamel caries
163160005,On examination - gingivitis
171847006,Acute necrotizing ulcerative gingivitis
172697005,Acute ulcerative gingivitis
173599005,Acute necrotizing ulcerative gingivostomatitis
186962003,Acute necrotising ulcerative gingivitis
196298000,Acute dentine dental caries
196299008,Chronic dentine dental caries
196301001,Acute enamel dental caries
196302008,Chronic enamel dental caries
196305005,Odontoclasia
196338001,(Acute apical periodontitis) or (dental infection)
196339009,Periapical abscess without a sinus
196340006,Dental abscess
196343008,Chronic apical periodontitis
196345001,Chronic apical periodontitis NOS
196354003,Gingival &/or periodontal disease (& [gingivitis])
196355002,Gingivitis (& [chronic])
196356001,Chronic marginal gingivitis
196357005,Ulcerative gingivitis
196358000,Chronic gingivitis NOS
196361004,Acute periodontitis
196364007,Acute periodontitis NOS
196366009,Chronic periodontitis simplex
196367000,Chronic periodontitis complex
196368005,Alveolar pyorrhea
196369002,Chronic periodontitis NOS
20607006,Gingivostomatitis
21638000,Acute periodontitis
22208002,Desquamative gingivitis
22240003,Pericoronitis
232427004,Vincent's laryngitis
234976000,Rampant dental caries
234989006,Gingivitis/gingival disease
234990002,Acute gingivitis
