"dmd_type","dmd_id","dmd_name","bnf_code"
"VMP",324070004,"Doxycycline 50mg capsules","0501030I0AAAAAA"
"AMP",2847611000001101,"Doxycycline 50mg capsules","0501030I0AAAAAA"
"AMP",2847811000001102,"Doxycycline 50mg capsules","0501030I0AAAAAA"
"AMP",2849911000001100,"Doxycycline 50mg capsules","0501030I0AAAAAA"
"AMP",11403911000001104,"Doxycycline 50mg capsules","0501030I0AAAAAA"
"AMP",10405011000001108,"Doxycycline 50mg capsules","0501030I0AAAAAA"
"AMP",23881111000001104,"Doxycycline 50mg capsules","0501030I0AAAAAA"
"AMP",37897811000001104,"Doxycycline 50mg capsules","0501030I0AAAAAA"
"AMP",14201611000001100,"Doxycycline 50mg capsules","0501030I0AAAAAA"
"AMP",2848611000001102,"Doxycycline 50mg capsules","0501030I0AAAAAA"
"AMP",2849111000001103,"Doxycycline 50mg capsules","0501030I0AAAAAA"
"AMP",37071111000001104,"Doxycycline 50mg capsules","0501030I0AAAAAA"
"AMP",38877411000001104,"Doxycycline 50mg capsules","0501030I0AAAAAA"
"AMP",7432211000001109,"Doxycycline 50mg capsules","0501030I0AAAAAA"
"AMP",17894611000001104,"Doxycycline 50mg capsules","0501030I0AAAAAA"
"AMP",29836111000001100,"Doxycycline 50mg capsules","0501030I0AAAAAA"
"AMP",2848011000001109,"Doxycycline 50mg capsules","0501030I0AAAAAA"
"AMP",2848411000001100,"Doxycycline 50mg capsules","0501030I0AAAAAA"
"AMP",21933211000001100,"Doxycycline 50mg capsules","0501030I0AAAAAA"
"VMP",324059006,"Doxycycline 100mg capsules","0501030I0AAABAB"
"AMP",2850911000001108,"Doxycycline 100mg capsules","0501030I0AAABAB"
"AMP",2851411000001109,"Doxycycline 100mg capsules","0501030I0AAABAB"
"AMP",2854311000001104,"Doxycycline 100mg capsules","0501030I0AAABAB"
"AMP",11404211000001106,"Doxycycline 100mg capsules","0501030I0AAABAB"
"AMP",2851811000001106,"Doxycycline 100mg capsules","0501030I0AAABAB"
"AMP",10405211000001104,"Doxycycline 100mg capsules","0501030I0AAABAB"
"AMP",23880711000001108,"Doxycycline 100mg capsules","0501030I0AAABAB"
"AMP",37896911000001104,"Doxycycline 100mg capsules","0501030I0AAABAB"
"AMP",14161611000001104,"Doxycycline 100mg capsules","0501030I0AAABAB"
"AMP",2852511000001100,"Doxycycline 100mg capsules","0501030I0AAABAB"
"AMP",2853211000001109,"Doxycycline 100mg capsules","0501030I0AAABAB"
"AMP",30123211000001108,"Doxycycline 100mg capsules","0501030I0AAABAB"
"AMP",38877111000001104,"Doxycycline 100mg capsules","0501030I0AAABAB"
"AMP",2852911000001107,"Doxycycline 100mg capsules","0501030I0AAABAB"
"AMP",17894811000001104,"Doxycycline 100mg capsules","0501030I0AAABAB"
"AMP",15083411000001100,"Doxycycline 100mg capsules","0501030I0AAABAB"
"AMP",10724511000001104,"Doxycycline 100mg capsules","0501030I0AAABAB"
"AMP",2852311000001106,"Doxycycline 100mg capsules","0501030I0AAABAB"
"AMP",21933411000001100,"Doxycycline 100mg capsules","0501030I0AAABAB"
"VMP",324072007,"Doxycycline 100mg dispersible tablets sugar free","0501030I0AAAEAE"
"VMP",8485211000001101,"Doxycycline 50mg/5ml oral solution","0501030I0AAAHAH"
"VMP",8485311000001109,"Doxycycline 50mg/5ml oral suspension","0501030I0AAAHAH"
"AMP",8458111000001109,"Doxycycline 50mg/5ml oral solution","0501030I0AAAHAH"
"AMP",8459211000001108,"Doxycycline 50mg/5ml oral suspension","0501030I0AAAHAH"
"VMP",32876211000001100,"Doxycycline 100mg/5ml oral suspension","0501030I0AAAKAK"
"AMP",32874411000001104,"Doxycycline 100mg/5ml oral suspension","0501030I0AAAKAK"
"VMP",421341000,"Doxycycline 100mg tablets","0501030I0AAALAL"
"AMP",38250911000001104,"Doxycycline 100mg tablets","0501030I0AAALAL"
"VMP",36564611000001104,"Doxycycline 40mg modified-release capsules","0501030Z0AAAAAA"
