"dmd_type","dmd_id","dmd_name","bnf_code"
"VMP",324076005,"Lymecycline 408mg capsules","0501030L0AAABAB"
"AMP",21232111000001104,"Lymecycline 408mg capsules","0501030L0AAABAB"
"AMP",23643111000001104,"Lymecycline 408mg capsules","0501030L0AAABAB"
"AMP",30763011000001104,"Lymecycline 408mg capsules","0501030L0AAABAB"
"AMP",24372611000001108,"Lymecycline 408mg capsules","0501030L0AAABAB"
"AMP",32417211000001100,"Lymecycline 408mg capsules","0501030L0AAABAB"
"AMP",37119611000001104,"Lymecycline 408mg capsules","0501030L0AAABAB"
"AMP",34187111000001100,"Lymecycline 408mg capsules","0501030L0AAABAB"
"AMP",29899911000001104,"Lymecycline 408mg capsules","0501030L0AAABAB"
"AMP",37860011000001104,"Lymecycline 408mg capsules","0501030L0AAABAB"
"AMP",21219611000001104,"Lymecycline 408mg capsules","0501030L0AAABAB"
"AMP",21790011000001100,"Lymecycline 408mg capsules","0501030L0AAABAB"
