"dmd_type","dmd_id","dmd_name","bnf_code"
"VMP",324520007,"Metronidazole 200mg/5ml oral suspension","0501110C0AAAEAE"
"AMP",271811000001101,"Metronidazole 200mg/5ml oral suspension","0501110C0AAAEAE"
"AMP",341811000001106,"Metronidazole 200mg/5ml oral suspension","0501110C0AAAEAE"
"AMP",24384411000001108,"Metronidazole 200mg/5ml oral suspension","0501110C0AAAEAE"
"AMP",34745911000001108,"Metronidazole 200mg/5ml oral suspension","0501110C0AAAEAE"
"AMP",113911000001102,"Metronidazole 200mg/5ml oral suspension","0501110C0AAAEAE"
"AMP",37149811000001104,"Metronidazole 200mg/5ml oral suspension","0501110C0AAAEAE"
"AMP",11599611000001102,"Metronidazole 200mg/5ml oral suspension","0501110C0AAAEAE"
"AMP",29920411000001104,"Metronidazole 200mg/5ml oral suspension","0501110C0AAAEAE"
"AMP",21799811000001104,"Metronidazole 200mg/5ml oral suspension","0501110C0AAAEAE"
"AMP",21309911000001104,"Metronidazole 200mg/5ml oral suspension","0501110C0AAAEAE"
"VMP",324517004,"Metronidazole 500mg suppositories","0501110C0AAAGAG"
"VMP",324518009,"Metronidazole 1g suppositories","0501110C0AAAHAH"
"VMP",324511003,"Metronidazole 200mg tablets","0501110C0AAAIAI"
"AMP",657311000001103,"Metronidazole 200mg tablets","0501110C0AAAIAI"
"AMP",703011000001105,"Metronidazole 200mg tablets","0501110C0AAAIAI"
"AMP",367011000001101,"Metronidazole 200mg tablets","0501110C0AAAIAI"
"AMP",10690011000001102,"Metronidazole 200mg tablets","0501110C0AAAIAI"
"AMP",10394111000001104,"Metronidazole 200mg tablets","0501110C0AAAIAI"
"AMP",20189711000001104,"Metronidazole 200mg tablets","0501110C0AAAIAI"
"AMP",24384611000001108,"Metronidazole 200mg tablets","0501110C0AAAIAI"
"AMP",14162711000001100,"Metronidazole 200mg tablets","0501110C0AAAIAI"
"AMP",727811000001101,"Metronidazole 200mg tablets","0501110C0AAAIAI"
"AMP",35843111000001100,"Metronidazole 200mg tablets","0501110C0AAAIAI"
"AMP",461811000001105,"Metronidazole 200mg tablets","0501110C0AAAIAI"
"AMP",30830211000001108,"Metronidazole 200mg tablets","0501110C0AAAIAI"
"AMP",19193811000001100,"Metronidazole 200mg tablets","0501110C0AAAIAI"
"AMP",786711000001104,"Metronidazole 200mg tablets","0501110C0AAAIAI"
"AMP",34612711000001100,"Metronidazole 200mg tablets","0501110C0AAAIAI"
"AMP",17941711000001106,"Metronidazole 200mg tablets","0501110C0AAAIAI"
"AMP",494411000001108,"Metronidazole 200mg tablets","0501110C0AAAIAI"
"AMP",8826911000001104,"Metronidazole 200mg tablets","0501110C0AAAIAI"
"AMP",15110911000001108,"Metronidazole 200mg tablets","0501110C0AAAIAI"
"AMP",357811000001101,"Metronidazole 200mg tablets","0501110C0AAAIAI"
"AMP",21800011000001100,"Metronidazole 200mg tablets","0501110C0AAAIAI"
"VMP",324512005,"Metronidazole 400mg tablets","0501110C0AAAJAJ"
"AMP",791311000001105,"Metronidazole 400mg tablets","0501110C0AAAJAJ"
"AMP",229911000001106,"Metronidazole 400mg tablets","0501110C0AAAJAJ"
"AMP",780111000001103,"Metronidazole 400mg tablets","0501110C0AAAJAJ"
"AMP",10690211000001108,"Metronidazole 400mg tablets","0501110C0AAAJAJ"
