"dmd_type","dmd_id","dmd_name","bnf_code"
"VMP",324092000,"Minocycline 50mg tablets","0501030P0AAAAAA"
"AMP",666311000001107,"Minocycline 50mg tablets","0501030P0AAAAAA"
"AMP",679811000001102,"Minocycline 50mg tablets","0501030P0AAAAAA"
"AMP",514011000001108,"Minocycline 50mg tablets","0501030P0AAAAAA"
"AMP",24386011000001104,"Minocycline 50mg tablets","0501030P0AAAAAA"
"AMP",939411000001101,"Minocycline 50mg tablets","0501030P0AAAAAA"
"AMP",30831211000001100,"Minocycline 50mg tablets","0501030P0AAAAAA"
"AMP",238111000001103,"Minocycline 50mg tablets","0501030P0AAAAAA"
"AMP",11408511000001102,"Minocycline 50mg tablets","0501030P0AAAAAA"
"AMP",17942111000001100,"Minocycline 50mg tablets","0501030P0AAAAAA"
"AMP",29923611000001108,"Minocycline 50mg tablets","0501030P0AAAAAA"
"AMP",8819311000001104,"Minocycline 50mg tablets","0501030P0AAAAAA"
"AMP",891511000001102,"Minocycline 50mg tablets","0501030P0AAAAAA"
"AMP",13758111000001102,"Minocycline 50mg tablets","0501030P0AAAAAA"
"AMP",21801011000001104,"Minocycline 50mg tablets","0501030P0AAAAAA"
"VMP",324093005,"Minocycline 100mg tablets","0501030P0AAABAB"
"AMP",254511000001104,"Minocycline 100mg tablets","0501030P0AAABAB"
"AMP",754011000001103,"Minocycline 100mg tablets","0501030P0AAABAB"
"AMP",165311000001103,"Minocycline 100mg tablets","0501030P0AAABAB"
"AMP",34019411000001108,"Minocycline 100mg tablets","0501030P0AAABAB"
"AMP",24385811000001108,"Minocycline 100mg tablets","0501030P0AAABAB"
"AMP",64211000001102,"Minocycline 100mg tablets","0501030P0AAABAB"
"AMP",30831011000001104,"Minocycline 100mg tablets","0501030P0AAABAB"
"AMP",7611000001109,"Minocycline 100mg tablets","0501030P0AAABAB"
"AMP",11408011000001104,"Minocycline 100mg tablets","0501030P0AAABAB"
"AMP",17942311000001104,"Minocycline 100mg tablets","0501030P0AAABAB"
"AMP",29923011000001100,"Minocycline 100mg tablets","0501030P0AAABAB"
"AMP",8819511000001105,"Minocycline 100mg tablets","0501030P0AAABAB"
"AMP",936711000001102,"Minocycline 100mg tablets","0501030P0AAABAB"
"AMP",13758311000001100,"Minocycline 100mg tablets","0501030P0AAABAB"
"AMP",21801211000001100,"Minocycline 100mg tablets","0501030P0AAABAB"
"VMP",36565111000001104,"Minocycline 100mg modified-release capsules","0501030P0AAACAC"
"AMP",9330111000001102,"Minocycline 100mg modified-release capsules","0501030P0AAACAC"
"AMP",14781411000001108,"Minocycline 100mg modified-release capsules","0501030P0AAACAC"
"VMP",324090008,"Minocycline 50mg capsules","0501030P0AAADAD"
"VMP",324091007,"Minocycline 100mg capsules","0501030P0AAAEAE"
