"dmd_type","dmd_id","dmd_name","bnf_code"
"VMP",17335611000001108,"Taurolidine 2% nebuliser liquid","0501070AAAAAAAA"
"AMP",17322211000001104,"Taurolidine 2% nebuliser liquid","0501070AAAAAAAA"
"AMP",20151811000001108,"Taurolin 2g/100ml intraperitoneal solution bottles","0501070AABBAAAB"
"AMP",20152111000001108,"Taurolin 5g/250ml intraperitoneal solution bottles","0501070AABBAAAB"
"VMP",414851008,"Nitazoxanide 500mg tablets","0501070ABAAAAAA"
"AMP",20425111000001100,"Nitazoxanide 500mg tablets","0501070ABAAAAAA"
"VMP",409156007,"Nitazoxanide 100mg/5ml oral suspension","0501070ABAAABAB"
"AMP",21626711000001104,"Nitazoxanide 100mg/5ml oral suspension","0501070ABAAABAB"
"VMP",703666002,"Fidaxomicin 200mg tablets","0501070ACAAAAAA"
"AMP",20540311000001100,"Dificlir 200mg tablets","0501070ACBBAAAA"
"VMP",703915009,"Tedizolid 200mg tablets","0501070ADAAABAB"
"VMP",18162111000001104,"Fosfomycin 3g granules sachets","0501070AEAAADAD"
"AMP",29934011000001104,"Fosfomycin 3g granules sachets","0501070AEAAADAD"
"AMP",32746111000001104,"Fosfomycin 3g granules sachets","0501070AEAAADAD"
"AMP",21393311000001104,"Fosfomycin 3g granules sachets","0501070AEAAADAD"
"AMP",32982711000001104,"Monuril 3g granules sachets","0501070AEBBADAD"
"AMP",18162811000001108,"Monurol 3g granules sachets","0501070AEBCAAAD"
"VMP",324298007,"Chloramphenicol 250mg capsules","0501070F0AAAAAA"
"AMP",3928511000001100,"Chloramphenicol 250mg capsules","0501070F0AAAAAA"
"AMP",3929711000001101,"Chloramphenicol 250mg capsules","0501070F0AAAAAA"
"AMP",14942611000001102,"Chloramphenicol 250mg capsules","0501070F0AAAAAA"
"AMP",4743111000001107,"Chloramphenicol 250mg capsules","0501070F0AAAAAA"
"AMP",11482411000001104,"Chloramphenicol 250mg capsules","0501070F0AAAAAA"
"AMP",3928911000001107,"Chloramphenicol 250mg capsules","0501070F0AAAAAA"
"VMP",324303009,"Chloramphenicol 1g powder for solution for injection vials","0501070F0AAACAC"
"AMP",34327311000001100,"Chloramphenicol 1g powder for solution for injection vials","0501070F0AAACAC"
"AMP",34340211000001108,"Chloramphenicol 1g powder for solution for injection vials","0501070F0AAACAC"
"AMP",33582511000001100,"Chloramphenicol 1g powder for solution for injection vials","0501070F0AAACAC"
"AMP",4382311000001106,"Kemicetine 1g powder for solution for injection vials","0501070F0BCAAAC"
"VMP",324308000,"Colistin 1.5million unit tablets","0501070H0AAAEAE"
"AMP",3964811000001102,"Colomycin 1.5million unit tablets","0501070H0BBAAAE"
"VMP",324311004,"Colistimethate 1million unit powder for solution for injection vials","0501070I0AAABAB"
"AMP",18758011000001104,"Colistimethate 1million unit powder for solution for injection vials","0501070I0AAABAB"
"AMP",17652211000001104,"Colistimethate 1million unit powder for solution for injection vials","0501070I0AAABAB"
"VMP",4256011000001107,"Colistimethate 1million unit powder for nebuliser solution unit dose vials","0501070I0AAADAD"
"VMP",4638311000001106,"Colistimethate 2million unit powder for solution for injection vials","0501070I0AAAEAE"
"VMP",22555311000001104,"Colistimethate 1,662,500unit inhalation powder capsules","0501070I0AAAGAG"
"VMP",32936911000001104,"Colistimethate 2million unit powder for nebuliser solution unit dose vials","0501070I0AAAHAH"
"AMP",3108611000001108,"Colomycin 1million unit powder for solution for injection vials","0501070I0BBABAB"
"AMP",4621211000001109,"Colomycin 2million unit powder for solution for injection vials","0501070I0BBACAE"
"AMP",4252411000001104,"Promixin 1million unit powder for nebuliser solution unit dose vials","0501070I0BCAAAD"
"AMP",4658711000001106,"Promixin 1million unit powder for solution for injection vials","0501070I0BCABAB"
"AMP",22481011000001100,"Colobreathe 1,662,500unit inhalation powder capsules","0501070I0BDAAAG"
"AMP",32933811000001104,"ColiFin 1 MIU powder for nebuliser solution unit dose vials","0501070I0BEAAAD"
"AMP",32934411000001104,"ColiFin 2 MIU powder for nebuliser solution unit dose vials","0501070I0BEABAH"
"VMP",324317000,"Fusidic acid 250mg/5ml oral suspension","0501070M0AAAAAA"
"AMP",3981111000001109,"Fucidin 250mg/5ml oral suspension","0501070M0BBAAAA"
"VMP",35927411000001108,"Sodium fusidate 500mg powder and solvent for solution for infusion vials","0501070N0AAABAB"
"AMP",29786111000001104,"Sodium fusidate 500mg powder and solvent for solution for infusion vials","0501070N0AAABAB"
