code,term
11973000,Accessory splenectomy
12913009,Splenorrhaphy with partial splenectomy
138892001,H/O splenectomy
149296003,Partial splenectomy
149297007,Total splenectomy
161626009,History of splenectomy
174776001,Total splenectomy
174778000,Total splenectomy and reimplantation of fragments
174779008,Total splenectomy
174781005,Splenectomy NEC
174782003,Laparoscopic total splenectomy
225280002,Subtotal splenectomy
234319005,Splenectomy
234511009,Post-splenectomy disorder
234512002,Post-splenectomy thrombocytosis
234513007,Post-splenectomy leukocytosis
234514001,Post-splenectomy septicemia
314118002,Laparoscopic total splenectomy
33479006,Distal subtotal pancreatectomy with splenectomy and pancreaticojejunostomy
446408009,Laparoscopic excision of part of spleen
555591000000103,Splenectomy NEC
60194009,Distal subtotal pancreatectomy with splenectomy
64422000,Splenectomy
67061007,Excision of lesion of spleen
67097003,Partial splenectomy
700052007,Post-splenectomy sepsis
817000,Excision of cyst of spleen
