"dmd_type","dmd_id","dmd_name","bnf_code"
"VMP",3653911000001100,"Co-trimoxazole 80mg/400mg/5ml solution for infusion ampoules","0501080D0AAABAB"
"AMP",3625511000001107,"Co-trimoxazole 80mg/400mg/5ml solution for infusion ampoules","0501080D0AAABAB"
"AMP",3626311000001106,"Co-trimoxazole 80mg/400mg/5ml solution for infusion ampoules","0501080D0AAABAB"
"AMP",32519811000001100,"Co-trimoxazole 80mg/400mg/5ml solution for infusion ampoules","0501080D0AAABAB"
"AMP",3625711000001102,"Co-trimoxazole 80mg/400mg/5ml solution for infusion ampoules","0501080D0AAABAB"
"VMP",35313211000001104,"Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free","0501080D0AAACAC"
"AMP",32501611000001104,"Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free","0501080D0AAACAC"
"AMP",32505711000001104,"Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free","0501080D0AAACAC"
"AMP",32431411000001104,"Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free","0501080D0AAACAC"
"AMP",37232111000001104,"Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free","0501080D0AAACAC"
"AMP",38859611000001104,"Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free","0501080D0AAACAC"
"VMP",324362001,"Co-trimoxazole 80mg/400mg/5ml oral suspension","0501080D0AAAEAE"
"AMP",32501811000001100,"Co-trimoxazole 80mg/400mg/5ml oral suspension","0501080D0AAAEAE"
"AMP",32507511000001108,"Co-trimoxazole 80mg/400mg/5ml oral suspension","0501080D0AAAEAE"
"AMP",32280411000001100,"Co-trimoxazole 80mg/400mg/5ml oral suspension","0501080D0AAAEAE"
"VMP",324357002,"Co-trimoxazole 80mg/400mg tablets","0501080D0AAAHAH"
"AMP",812711000001104,"Co-trimoxazole 80mg/400mg tablets","0501080D0AAAHAH"
"AMP",688711000001107,"Co-trimoxazole 80mg/400mg tablets","0501080D0AAAHAH"
"AMP",517111000001104,"Co-trimoxazole 80mg/400mg tablets","0501080D0AAAHAH"
"AMP",32281711000001104,"Co-trimoxazole 80mg/400mg tablets","0501080D0AAAHAH"
"AMP",28922511000001104,"Co-trimoxazole 80mg/400mg tablets","0501080D0AAAHAH"
"AMP",23858211000001108,"Co-trimoxazole 80mg/400mg tablets","0501080D0AAAHAH"
"AMP",14942811000001104,"Co-trimoxazole 80mg/400mg tablets","0501080D0AAAHAH"
"AMP",34958511000001104,"Co-trimoxazole 80mg/400mg tablets","0501080D0AAAHAH"
