"dmd_type","dmd_id","dmd_name","bnf_code"
"VMP",324011006,"Tetracycline 250mg capsules","0501030V0AAAAAA"
"AMP",20291511000001104,"Tetracycline 250mg capsules","0501030V0AAAAAA"
"VMP",324012004,"Tetracycline 250mg tablets","0501030V0AAAFAF"
"AMP",47611000001101,"Tetracycline 250mg tablets","0501030V0AAAFAF"
"AMP",205211000001109,"Tetracycline 250mg tablets","0501030V0AAAFAF"
"AMP",625311000001105,"Tetracycline 250mg tablets","0501030V0AAAFAF"
"AMP",17962811000001100,"Tetracycline 250mg tablets","0501030V0AAAFAF"
"AMP",37824111000001104,"Tetracycline 250mg tablets","0501030V0AAAFAF"
"AMP",36074811000001104,"Tetracycline 250mg tablets","0501030V0AAAFAF"
"AMP",22473211000001100,"Tetracycline 250mg tablets","0501030V0AAAFAF"
"AMP",357111000001108,"Tetracycline 250mg tablets","0501030V0AAAFAF"
"AMP",35593811000001104,"Tetracycline 250mg tablets","0501030V0AAAFAF"
"AMP",17875711000001104,"Tetracycline 250mg tablets","0501030V0AAAFAF"
"AMP",21787511000001108,"Tetracycline 250mg tablets","0501030V0AAAFAF"
"VMP",21407411000001104,"Tetracycline 125mg/5ml oral solution","0501030V0AAARAR"
"AMP",21406411000001100,"Tetracycline 125mg/5ml oral solution","0501030V0AAARAR"
