"dmd_type","dmd_id","dmd_name","bnf_code"
"VMP",371616001,"Methenamine hippurate 1g tablets","0501130H0AAAAAA"
"AMP",37947311000001104,"Methenamine hippurate 1g tablets","0501130H0AAAAAA"
"AMP",37830711000001112,"Methenamine hippurate 1g tablets","0501130H0AAAAAA"
"AMP",38849511000001104,"Methenamine hippurate 1g tablets","0501130H0AAAAAA"
"AMP",3691811000001100,"Hiprex 1g tablets","0501130H0BBAAAA"
"VMP",324570005,"Nitrofurantoin 50mg capsules","0501130R0AAAAAA"
"AMP",24549911000001108,"Nitrofurantoin 50mg capsules","0501130R0AAAAAA"
"AMP",37556911000001104,"Nitrofurantoin 50mg capsules","0501130R0AAAAAA"
"AMP",24209111000001104,"Nitrofurantoin 50mg capsules","0501130R0AAAAAA"
"AMP",24421611000001108,"Nitrofurantoin 50mg capsules","0501130R0AAAAAA"
"AMP",37460411000001104,"Nitrofurantoin 50mg capsules","0501130R0AAAAAA"
"AMP",35952811000001108,"Nitrofurantoin 50mg capsules","0501130R0AAAAAA"
"AMP",36774211000001112,"Nitrofurantoin 50mg capsules","0501130R0AAAAAA"
"VMP",324572002,"Nitrofurantoin 100mg capsules","0501130R0AAABAB"
"AMP",24550111000001104,"Nitrofurantoin 100mg capsules","0501130R0AAABAB"
"AMP",37557111000001104,"Nitrofurantoin 100mg capsules","0501130R0AAABAB"
"AMP",24208911000001100,"Nitrofurantoin 100mg capsules","0501130R0AAABAB"
"AMP",24421811000001104,"Nitrofurantoin 100mg capsules","0501130R0AAABAB"
"AMP",37460611000001104,"Nitrofurantoin 100mg capsules","0501130R0AAABAB"
"AMP",35954211000001104,"Nitrofurantoin 100mg capsules","0501130R0AAABAB"
"AMP",36774511000001104,"Nitrofurantoin 100mg capsules","0501130R0AAABAB"
"VMP",36565611000001104,"Nitrofurantoin 25mg/5ml oral suspension sugar free","0501130R0AAACAC"
"AMP",24133311000001100,"Nitrofurantoin 25mg/5ml oral suspension sugar free","0501130R0AAACAC"
"AMP",5420911000001103,"Nitrofurantoin 25mg/5ml oral suspension sugar free","0501130R0AAACAC"
"AMP",3607611000001105,"Nitrofurantoin 25mg/5ml oral suspension sugar free","0501130R0AAACAC"
"AMP",38608611000001104,"Nitrofurantoin 25mg/5ml oral suspension sugar free","0501130R0AAACAC"
"VMP",324558006,"Nitrofurantoin 50mg tablets","0501130R0AAADAD"
"AMP",180911000001108,"Nitrofurantoin 50mg tablets","0501130R0AAADAD"
"AMP",884111000001105,"Nitrofurantoin 50mg tablets","0501130R0AAADAD"
"AMP",497811000001101,"Nitrofurantoin 50mg tablets","0501130R0AAADAD"
"AMP",30763811000001108,"Nitrofurantoin 50mg tablets","0501130R0AAADAD"
"AMP",37460811000001104,"Nitrofurantoin 50mg tablets","0501130R0AAADAD"
"AMP",11016111000001104,"Nitrofurantoin 50mg tablets","0501130R0AAADAD"
"AMP",20327411000001104,"Nitrofurantoin 50mg tablets","0501130R0AAADAD"
"AMP",537011000001109,"Nitrofurantoin 50mg tablets","0501130R0AAADAD"
"AMP",30851211000001100,"Nitrofurantoin 50mg tablets","0501130R0AAADAD"
"AMP",9555111000001106,"Nitrofurantoin 50mg tablets","0501130R0AAADAD"
"AMP",17946711000001100,"Nitrofurantoin 50mg tablets","0501130R0AAADAD"
"AMP",29929911000001104,"Nitrofurantoin 50mg tablets","0501130R0AAADAD"
